index,student_id,full_name,date_of_birth,grade_level,emergency_contact,edad
0,s00001,donna williams,2007-02-10,3,781-534-4258x9046,18
1,s00002,john stafford,2014-11-26,5,+1-782-691-6291x99704,11
2,s00003,chad harper,2017-02-07,3,308.517.3750,8
3,s00006,joe wells,2017-06-29,2,+1-933-864-5644x501,8
4,s00007,margaret nixon,2009-12-04,4,706.708.0421x412,16
5,s00008,james wheeler,2011-01-25,1,(605)818-0057x877,14
6,s00009,benjamin cook,2007-10-04,4,(489)503-7511x611,18
7,s00012,jonathan solis,2016-07-07,1,+1-534-253-4789x8656,9
8,s00013,robert sanders,2008-04-30,2,+1-637-642-1016x7779,17
9,s00014,melanie gilmore,2006-08-19,4,001-569-842-8327x8506,19
10,s00015,alexandria wallace,2006-06-21,2,+1-283-259-6520x7061,19
11,s00016,ann wilkerson,2007-09-02,3,+1-735-270-0046x90671,18
12,s00017,kelly delgado,2015-06-28,2,001-993-871-2154x45650,10
13,s00018,michael baker,2008-07-21,1,+1-266-564-5904x54580,17
14,s00019,jennifer adams,2015-01-03,4,001-209-613-8159,10
15,s00020,elizabeth lopez,2016-04-21,3,001-436-781-9737x4414,9
16,s00021,patricia atkins,2019-01-07,5,(908)400-6429x947,6
17,s00022,justin wright,2010-06-25,2,975-914-9462x2990,15
18,s00024,kimberly massey,2008-05-05,3,+1-888-444-9025,17
19,s00025,theresa marsh,2009-04-18,2,676-696-6482,16
20,s00026,todd noble,2006-05-03,3,(730)399-1378,19
21,s00027,jonathan cline,2009-03-13,3,903.336.7816,16
22,s00028,diana fitzpatrick,2008-09-12,5,468-329-0737,17
23,s00029,brandi winters,2007-01-14,3,001-223-628-6249,18
24,s00030,vincent harrison,2013-01-26,3,+1-795-919-8159,12
25,s00031,michael may,2009-01-13,4,+1-375-642-0607x9672,16
26,s00032,katherine chang,2010-09-03,4,+1-435-617-1689x00179,15
27,s00033,kenneth levine,2019-01-15,1,(529)506-0532,6
28,s00034,melissa cohen,2016-08-20,1,(955)737-4295,9
29,s00035,pamela lambert,2010-11-06,2,5913609003,15
30,s00036,james stewart,2010-10-03,3,462.769.5212x47777,15
31,s00037,rebecca barr,2007-04-24,1,001-819-332-6636x418,18
32,s00039,jordan jenkins,2018-12-16,1,(393)709-1081,7
33,s00040,frank douglas,2017-08-22,5,(561)402-3053,8
34,s00041,robert walters,2017-03-28,1,001-574-742-1671x902,8
35,s00042,timothy russell,2010-02-03,3,(714)571-0022x0344,15
36,s00044,vicki whitaker,2013-10-16,1,542.861.3947,12
37,s00046,michael pennington,2012-03-08,1,+1-557-976-2931x631,13
38,s00047,deborah robinson,2012-07-19,1,644-521-8876,13
39,s00049,david soto,2015-05-06,2,890.344.3191x4523,10
40,s00050,alex evans,2006-10-05,2,(320)202-0791x71781,19
41,s00051,jesse hayes,2015-02-16,5,001-488-514-9535x46355,10
42,s00052,robert fox,2009-02-16,4,810.814.1294x88853,16
43,s00054,thomas morales,2017-09-30,2,(901)568-5838,8
44,s00055,susan miller,2012-07-18,4,627.294.0839x30853,13
45,s00057,robert foster,2012-07-02,5,9737272308,13
46,s00058,steven donovan,2017-06-06,5,001-309-741-6530x084,8
47,s00059,kiara meadows,2008-02-03,2,526.873.3321,17
48,s00060,shawn carroll,2007-08-27,3,+1-284-997-6975x318,18
49,s00061,kent davenport,2012-08-05,4,001-974-818-4092,13
50,s00063,jason marquez,2016-08-01,2,672-207-7384,9
51,s00064,danielle curtis,2012-04-12,3,+1-937-502-0746x53513,13
52,s00065,laura stanley,2015-12-13,2,840.935.3883,10
53,s00066,wyatt nelson,2010-01-10,5,(938)496-2179x2337,15
54,s00067,philip hill,2015-02-02,1,001-265-765-8985x04502,10
55,s00068,robert clark,2017-09-09,3,646.995.0750,8
56,s00069,william ford,2011-03-11,5,677-294-1469x96297,14
57,s00071,madison ellis,2012-06-16,4,929-669-3154,13
58,s00072,dean cook,2014-11-04,4,001-758-844-1898,11
59,s00073,christopher salinas,2011-01-04,5,+1-345-573-1319x25182,14
60,s00074,mr. mark erickson,2017-03-14,4,(830)226-4434x860,8
61,s00075,jasmine allen,2017-10-12,1,2018302268,8
62,s00076,robert martin,2013-06-28,1,583-732-3507,12
63,s00078,brian sims,2012-02-11,3,+1-645-569-2056,13
64,s00079,krista martinez,2008-05-03,2,281.813.2086x65169,17
65,s00080,aaron baldwin,2013-04-26,4,805-939-0145,12
66,s00081,john underwood,2013-05-01,1,+1-547-943-4476,12
67,s00082,shawn martin,2016-10-12,4,735-761-2346x7222,9
68,s00083,michael harrison,2017-07-21,3,212-346-7556x883,8
69,s00084,wanda eaton,2012-09-14,4,(920)333-9999x29113,13
70,s00085,taylor juarez,2018-06-07,2,(823)791-7451x6613,7
71,s00087,beth mendoza,2012-01-18,3,887.394.4200,13
72,s00089,noah dougherty,2006-06-02,5,(859)255-3549x677,19
73,s00090,david downs,2011-11-26,2,001-922-813-4880,14
74,s00091,mary williams,2014-10-19,3,(860)760-0220x9569,11
75,s00093,robert stewart,2009-06-30,1,+1-477-789-7616x158,16
76,s00094,paul ortega,2013-02-15,2,(999)431-7914,12
77,s00095,george williams,2008-09-01,2,+1-401-399-8240x5936,17
78,s00096,dawn hall,2007-05-21,4,+1-795-792-4545,18
79,s00097,tyler schroeder,2009-03-25,5,+1-314-761-8012x48970,16
80,s00098,courtney taylor,2006-06-03,3,258-779-3223x424,19
81,s00100,anthony villarreal,2016-04-12,3,(935)617-3478x6764,9
82,s00101,william mitchell,2008-11-06,5,749.923.7131x37550,17
83,s00102,stacey ramos,2011-06-11,4,764.975.1451,14
84,s00103,jacqueline richard,2010-10-19,5,+1-744-926-8903,15
85,s00104,allison flores,2014-10-06,3,7568298027,11
86,s00105,john singleton,2008-07-21,3,559-603-6410,17
87,s00106,matthew chandler,2006-12-29,1,(779)498-1573,19
88,s00107,brian ferguson,2017-01-13,3,+1-259-851-3309x68675,8
89,s00109,sandy lee,2017-09-28,1,+1-464-608-0980x749,8
90,s00110,scott perez,2007-04-19,5,(948)628-8304x11021,18
91,s00111,dylan jones,2009-10-01,1,813-751-1036,16
92,s00113,brandon garcia,2006-08-15,2,+1-541-463-4530x74598,19
93,s00114,kathryn wilson,2009-08-02,2,(302)366-6634,16
94,s00115,brian lowe,2007-10-29,3,222.761.3749x29075,18
95,s00116,julie schneider,2016-07-12,1,625.450.0857,9
96,s00117,julie bush,2014-07-26,5,726.427.4243x66185,11
97,s00118,ellen carter,2016-05-31,3,8367972128,9
98,s00120,paul ramos,2018-09-25,1,+1-453-850-8972x4586,7
99,s00121,benjamin martin,2012-03-27,4,680.867.6297x1013,13
100,s00123,elizabeth morales,2018-03-18,2,(957)807-3322x9791,7
101,s00124,glenn alexander,2015-10-31,5,749-446-5768x5902,10
102,s00126,jeremy rhodes,2011-03-05,3,716-750-8815,14
103,s00127,denise evans,2010-06-23,3,649.801.9380,15
104,s00128,dr. jamie stewart,2007-04-14,3,+1-310-426-3533x5178,18
105,s00129,anthony white,2017-01-30,2,774-490-1258,8
106,s00130,eduardo miranda,2012-06-30,1,990.638.5401x29299,13
107,s00132,jeremiah frank,2015-11-30,1,+1-446-493-5059x44155,10
108,s00133,kathy jordan,2016-06-09,4,682.965.6945x6002,9
109,s00134,brett knight,2018-06-20,4,972-273-5638,7
110,s00135,traci johnson,2007-07-28,1,6562939872,18
111,s00136,mr. john salas,2016-04-18,2,001-556-620-3226x8281,9
112,s00137,cory garcia,2011-09-12,4,9676379410,14
113,s00138,michael mccall,2017-07-17,2,653.629.8453,8
114,s00139,jeffrey pace,2014-04-17,5,854.241.8982,11
115,s00140,joshua smith,2007-06-01,3,001-741-649-2163x714,18
116,s00141,mary mccullough dds,2006-06-19,5,001-716-752-5816x998,19
117,s00142,brian phillips,2009-10-04,5,(874)461-7223x9991,16
118,s00143,cynthia macdonald,2008-06-12,3,916-372-4695x15443,17
119,s00144,dylan riddle,2016-05-16,5,+1-280-383-2852x122,9
120,s00145,bonnie mitchell,2017-05-12,3,387-490-6820,8
121,s00147,kimberly williams,2009-01-11,2,6567747324,16
122,s00148,travis moreno,2015-05-13,5,+1-568-423-9707x37227,10
